year,sample,serial,cbserial,hhwt,cluster,strata,gq,pernum,perwt,sex,age,ageorig,hcovany,educ,educd,empstat,empstatd,labforce,occ,ind,uhrswork,inctot,incwage,poverty
2023,2023 acs,1349382,2023000991477,204,2023013493821,463848,households under 1970 definition,1,203,male,24,,no health insurance coverage,n/a or no schooling,no schooling completed,employed,at work,"yes, in the labor force",1021,3390,40,60000,60000,501
2023,2023 acs,1316248,2023000571644,92,2023013162481,230348,households under 1970 definition,4,72,female,18,,with health insurance coverage,grade 12,"some college, but less than 1 year",not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,0,0,501
2023,2023 acs,158744,2023000648242,33,2023001587441,370806,households under 1970 definition,2,29,male,52,,with health insurance coverage,5+ years of college,master's degree,employed,at work,"yes, in the labor force",4720,5392,33,23300,23300,501
2023,2023 acs,883779,2023010004249,19,2023008837791,90536,other group quarters,1,19,male,20,,with health insurance coverage,grade 12,regular high school diploma,employed,at work,"yes, in the labor force",1108,7870,40,24700,24700,0
2023,2023 acs,1256559,2023001353052,65,2023012565591,120147,households under 1970 definition,2,62,female,75,,with health insurance coverage,4 years of college,bachelor's degree,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,20500,0,315
2023,2023 acs,599222,2023000320193,48,2023005992221,30022,households under 1970 definition,2,72,male,73,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,35800,0,244
2023,2023 acs,960300,2023001152443,32,2023009603001,80036,households under 1970 definition,4,59,female,41,,no health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",5740,7860,40,26400,26400,170
2023,2023 acs,336960,2023000595441,69,2023003369601,861912,households under 1970 definition,2,58,female,42,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",unemployed,unemployed,"yes, in the labor force",5510,6380,20,10000,10000,501
2023,2023 acs,1299287,2023000354713,56,2023012992871,630248,households under 1970 definition,1,56,male,62,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",employed,at work,"yes, in the labor force",3820,9590,40,120000,120000,501
2023,2023 acs,1370923,2023001267189,255,2023013709231,463548,households under 1970 definition,2,369,male,25,,no health insurance coverage,1 year of college,"1 or more years of college credit, no degree",not in labor force,not in labor force,"no, not in the labor force",6720,9670,40,10700,10700,253
2023,2023 acs,201276,2023001092704,85,2023002012761,711506,households under 1970 definition,1,85,female,36,,with health insurance coverage,5+ years of college,master's degree,employed,at work,"yes, in the labor force",440,7890,40,91000,89000,501
2023,2023 acs,1355126,2023001064439,77,2023013551261,591348,households under 1970 definition,1,77,female,51,,with health insurance coverage,5+ years of college,master's degree,employed,at work,"yes, in the labor force",2310,7860,40,29100,29100,161
2023,2023 acs,109057,2023000133733,58,2023001090571,652406,households under 1970 definition,4,46,female,19,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,0,0,259
2023,2023 acs,1168095,2023000862031,93,2023011680951,170142,households under 1970 definition,2,76,male,73,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,6770,0,122
2023,2023 acs,1433808,2023001101523,61,2023014338081,7700151,households under 1970 definition,5,72,male,55,,with health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",1108,7860,40,80000,80000,501
2023,2023 acs,1067429,2023000809111,120,2023010674291,71039,households under 1970 definition,1,120,female,35,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",employed,at work,"yes, in the labor force",3500,8270,40,65000,65000,226
2023,2023 acs,1070542,2023000900532,17,2023010705421,90039,households under 1970 definition,2,15,male,26,,with health insurance coverage,grade 12,regular high school diploma,employed,at work,"yes, in the labor force",8140,8870,40,40000,40000,399
2023,2023 acs,781722,2023000436529,144,2023007817221,180229,households under 1970 definition,1,144,female,46,,with health insurance coverage,grade 12,regular high school diploma,employed,at work,"yes, in the labor force",565,2190,40,60000,60000,500
2023,2023 acs,957222,2023001097618,156,2023009572221,421236,households under 1970 definition,1,156,female,75,,with health insurance coverage,grade 12,"some college, but less than 1 year",not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,4800,0,33
2023,2023 acs,227696,2023001368652,44,2023002276961,376406,households under 1970 definition,1,44,female,84,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,8000,0,56
2023,2023 acs,352424,2023000850201,60,2023003524241,710512,households under 1970 definition,1,60,female,85,,with health insurance coverage,4 years of college,bachelor's degree,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,37800,0,289
2023,2023 acs,450237,2023001057921,14,2023004502371,30016,households under 1970 definition,1,14,male,70,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,50400,0,319
